22:53:2,970.716296405
22:54:1,970.729943104
22:55:1,970.705184494
22:56:1,970.659162547
22:57:1,970.671604871
22:58:1,970.597625583
22:59:1,970.705403761
23:0:1,970.703784227
23:1:1,970.569321267
23:2:2,970.62292533
23:3:1,970.587670083
23:4:1,970.593067942
23:5:2,970.617940597
23:6:1,970.519259
23:7:1,970.528767929
23:8:2,970.542294179
23:9:1,970.54314307
23:10:1,970.621047141
23:11:2,970.559288188
23:12:1,970.523834843
23:13:1,970.622083478
23:14:2,970.552448603
23:15:1,970.508572778
23:16:1,970.461623001
23:17:2,970.452129923
23:18:1,970.42252366
23:19:1,970.440227274
23:20:2,970.451273393
23:21:1,970.452100499
23:22:1,970.409924579
23:23:2,970.427128275
23:24:1,970.289490974
23:25:1,970.332010491
23:26:1,970.444973464
23:27:1,970.4507723
23:28:1,970.499092369
23:29:1,970.391053493
23:30:1,970.363151305
23:31:1,970.382377181
23:32:2,970.475910787
23:33:1,970.38449493
23:34:1,970.491367816
23:35:2,970.526909511
23:36:1,970.41595094
23:37:1,970.322188372
23:38:2,970.323352642
23:39:1,970.396462997
23:40:1,970.38014632
23:41:2,970.388852525
23:43:1,970.374452047
23:44:2,970.459468252
23:34:2,970.489864151
23:47:1,970.377134747
23:48:27,970.484914252
23:49:2,970.474090758
23:50:1,970.568107797
23:51:1,970.536496325
23:52:2,970.591297367
23:53:1,970.536434074
23:54:1,970.53409308
23:55:2,970.598862005
23:56:1,970.571971023
23:57:2,970.529818833
23:58:1,970.525253397
23:59:1,970.421934501
0:0:2,970.407621262
0:1:1,970.49251351
0:2:1,970.516387459
0:3:2,970.501335456
0:4:1,970.462070384
0:5:1,970.464059923
0:6:2,970.459478075
0:7:1,970.449740378
0:8:1,970.541172884
0:9:1,970.574339855
0:10:1,970.549993242
0:11:2,970.626663021
0:12:1,970.634285608
0:13:1,970.543767333
0:14:2,970.56491932
0:15:1,970.551071552
0:16:1,970.571022618
0:17:2,970.533429169
0:18:1,970.638876184
0:19:1,970.606307901
0:20:2,970.60159721
0:21:1,970.603589452
0:22:1,970.627935869
0:23:2,970.596886339
0:24:1,970.585945513
0:25:1,970.590657171
0:26:2,970.53832612
0:27:1,970.606782475
0:28:1,970.585945513
0:29:2,970.590055835
0:30:1,970.519159741
0:31:1,970.532695246
0:32:1,970.569972492
0:33:1,970.448861912
0:34:2,970.43334357
0:35:1,970.508210161
0:36:1,970.338705542
0:37:2,970.491770924
0:38:1,970.454951176
